,Line,Trap.ID,Elevation,mrat,mstoat,sanitized_id,latitude,longitude,gps_elevation
141,DFT,DFT108,905,0,0,108,-43.1572815,171.7049074,905.4404297
142,DFT,DFT109,890,0.00465116279069767,0.013953488372093,109,-43.1581893,171.7047964,890.3000488
143,DFT,DFT110,876,0.013953488372093,0.013953488372093,110,-43.1589902,171.7051456,875.6398926
144,DFT,DFT111,866,0.00930232558139535,0.00465116279069767,111,-43.1598072,171.704837,865.7866211
145,DFT,DFT112,854,0.00930232558139535,0.00930232558139535,112,-43.1597314,171.704458,854.2509766
146,DFT,DFT113,835,0.0186046511627907,0.0232558139534884,113,-43.1588793,171.7040017,835.2648926
147,DFT,DFT114,820,0.027906976744186,0.00465116279069767,114,-43.1468496,171.7103119,925.8684082
148,DFT,DFT115,813,0.0232558139534884,0.00465116279069767,115,-43.1595745,171.7029421,812.9143066
149,DFT,DFT116,832,0,0.013953488372093,116,-43.1597838,171.7023436,832.140625
150,DFT,DFT117,841,0.00465116279069767,0.0372093023255814,117,-43.159897,171.701986,840.7922363
151,DFT,DFT118,859,0.00465116279069767,0.0186046511627907,118,-43.1606742,171.7022902,858.8171387
152,DFT,DFT119,868,0,0.00465116279069767,119,-43.1611289,171.7013136,867.9494629
153,DFT,DFT120,868,0.00465116279069767,0,120,-43.1623467,171.7011765,867.7089844
154,DFT,DFT121,868,0.013953488372093,0.0232558139534884,121,-43.1631939,171.7008679,868.1896973
155,DFT,DFT122,864,0,0.00465116279069767,122,-43.1643298,171.7007345,864.104248
156,DFT,DFT123,861,0.0232558139534884,0.0186046511627907,123,-43.1652207,171.7002262,860.7397461
157,DFT,DFT124,860,0.013953488372093,0.013953488372093,124,-43.1658405,171.6994804,859.5380859
158,DFT,DFT125,864,0.00930232558139535,0.00465116279069767,125,-43.1666741,171.699172,863.6235352
159,DFT,DFT126,868,0.00930232558139535,0.0186046511627907,126,-43.1675695,171.6983682,867.7089844
160,DFT,DFT127,870,0,0,127,-43.16806,171.697578,869.6318359
161,DFT,DFT128,875,0.00465116279069767,0.0232558139534884,128,-43.1680831,171.6964635,874.6784668
162,DFT,DFT129,885,0,0.0186046511627907,129,-43.1675259,171.695483,885.2531738
163,DFT,DFT130,881,0.00930232558139535,0.013953488372093,130,-43.1677242,171.6947628,880.927002
164,DFT,DFT131,885,0.013953488372093,0.00930232558139535,131,-43.1681443,171.6937159,884.5322266
165,DFT,DFT132,890,0,0.013953488372093,132,-43.1688606,171.6930336,889.5791016
166,DFT,DFT133,900,0.013953488372093,0.00465116279069767,133,-43.1693873,171.6920481,899.9130859
167,DFT,DFT134,899,0,0.0186046511627907,134,-43.1698534,171.6926974,898.9516602
168,DFT,DFT135,907,0.00465116279069767,0.00930232558139535,135,-43.1704721,171.6932952,907.3630371
169,DFT,DFT136,922,0.00465116279069767,0.0232558139534884,136,-43.170605,171.6920672,921.5424805
170,DFT,DFT137,940,0.00930232558139535,0.0232558139534884,137,-43.1711413,171.6912256,940.2880859
171,DFT,DFT138,952,0,0.0511627906976744,138,-43.1715612,171.6900763,951.8239746
172,DFT,DFT139,951,0,0.00465116279069767,139,-43.1721483,171.6886735,950.6223145
173,DFT,DFT140,956,0.013953488372093,0,140,-43.172198,171.6876513,956.3901367
177,HQ,HC151,833,0.00930232558139535,0,151,-43.1515,171.71253,832.6213379
178,HQ,HC152,853,0.00930232558139535,0.00465116279069767,152,-43.151974,171.711791,853.2895508
179,HQ,HC153,858,0.00930232558139535,0,153,-43.151766,171.710744,857.6154785
180,HQ,HC154,864,0,0.00465116279069767,154,-43.150909,171.710267,864.104248
181,HQ,HC155,897,0.00930232558139535,0,155,-43.152031,171.710626,897.0290527
182,HQ,HC155.5,924,0,0,155.5,-43.152259,171.711635,924.1862793
183,HQ,HC156,934,0.00465116279069767,0.0186046511627907,156,-43.152364,171.711922,933.5588379
184,HQ,HC157,947,0,0.013953488372093,157,-43.152654,171.712814,947.0170898
185,HQ,HC158,936,0.00465116279069767,0.0372093023255814,158,-43.151051,171.713869,935.4814453
186,HQ,HC159,928,0,0,159,-43.15085,171.714055,928.2717285
187,HQ,HC160,916,0.00465116279069767,0,160,-43.151943,171.714715,916.0151367
188,HQ,HC161,922,0,0.013953488372093,161,-43.152522,171.715397,921.5424805
189,HQ,HC162,923,0,0.013953488372093,162,-43.152293,171.715947,923.2248535
190,HQ,HC163,944,0,0.0186046511627907,163,-43.151393,171.716242,944.1333008
191,HQ,HC164,956,0.00465116279069767,0.013953488372093,164,-43.151082,171.716496,956.3901367
192,HQ,HC165,969,0.00465116279069767,0.013953488372093,165,-43.151695,171.717361,969.1274414
193,HQ,HC166,986,0,0.027906976744186,166,-43.152607,171.71802,985.9504395
195,HQ,HC168,980,0,0.00465116279069767,168,-43.154024,171.718262,
196,HQ,HC168.5,978,0.00465116279069767,0,168.5,-43.154506,171.717299,978.0195313
197,HQ,HC169,980,0,0,169,-43.154018,171.715153,980.1826172
198,HQ,HC169.5,967,0,0.00465116279069767,169.5,-43.153506,171.714183,967.204834
199,HQ,HC170,961,0,0.00465116279069767,170,-43.152818,171.713697,960.9562988
200,HQ,HQ301,900,0.00465116279069767,0.00930232558139535,301,-43.15036,171.711052,
201,HQ,HQ302,898,0.0186046511627907,0.00465116279069767,302,-43.150675,171.711146,
202,HQ,HQ303,898,0,0.00465116279069767,303,-43.150664,171.711288,897.75
203,HQ,HQ304,898,0.00465116279069767,0.013953488372093,304,-43.150603,171.711759,
204,HQ,HQ305,892,0.013953488372093,0.00930232558139535,305,-43.150607,171.711903,892.4628906
205,HQ,HQ306,891,0.013953488372093,0.00465116279069767,306,-43.150497,171.711991,890.7805176
206,HQ,HQ307,898,0.013953488372093,0,307,-43.150441,171.712063,
207,HQ,HQ308,900,0.00930232558139535,0.00465116279069767,308,-43.150351,171.712126,
208,HQ,HQ309,891,0.00465116279069767,0,309,-43.150188,171.71244,890.7805176
209,HQ,HQ310,920,0.00930232558139535,0.00465116279069767,310,-43.150506,171.71277,920.1005859
210,HQ,HQ311,921,0,0,311,-43.150396,171.712993,
211,HQ,HQ312,916,0,0,312,-43.150393,171.713577,916.4958496
212,HQ,HQ313,921,0,0,313,-43.150603,171.713655,921.0620117
213,HQ,HQ314,893,0,0.00465116279069767,314,-43.150294,171.713633,892.9436035
214,HQ,HQ315,897,0,0,315,-43.150616,171.71411,896.7888184
215,HQ,HQ316,933,0,0.00465116279069767,316,-43.150899,171.713381,932.8378906
216,HQ,HQ317,946,0.00465116279069767,0.00465116279069767,317,-43.151272,171.713398,945.5751953
219,LST,LST1,893,0.00930232558139535,0.013953488372093,1,-43.1489315,171.711316,893.4243164
235,LST,LST24,1148,0,0.027906976744186,24,-43.204718,171.707917,764.1279297
236,LST,LST25,1120,0,0.027906976744186,25,-43.204106,171.707266,799.6962891
237,LST,LST26,1100,0,0.0325581395348837,26,-43.203607,171.706365,809.7900391
